address,num_of_common,num_of_bronze,num_of_silver,num_of_gold,num_of_platinum,num_of_brilliant
omniflix13en8cc3pyp3xunt9jqffpv57405n9pgekfjf4n,0,1,0,2,0,0
omniflix1xag5tgamh6fge4mfa8y57s29w4ar9p2hl2zjqu,1,2,0,0,0,0
omniflix1k3f8jp5xkkeaezeuv3r9wlykqtywrq9lsllgk9,3,0,0,0,0,0
omniflix1sudg9xkfkhud7hst9a5xae2paufhwxpwq2e4rx,0,4,1,0,0,0
omniflix1cy9g8ywzcfe8czjfcszzt2qm86lr7rwpe5y5zn,1,1,0,0,0,0
omniflix156z5fnns73mkurlhhj0az7e3e2f4etth928vke,1,6,0,2,0,0
omniflix1llc67dzr3dgp97ypghqd0u5zk3jws22u2ywsef,1,0,1,0,0,0
omniflix1y88ch39l66khl5gjpljz7mjek3j2sysfmz94x4,0,0,2,0,0,0
omniflix1u2xxgs28gjfj4udkzu2fwn6t6pkewys9g7cj70,0,0,0,0,2,0
omniflix1s9kx6ugfkzquqv00vz4lf4d0gc9e703mg9nlx3,3,0,0,0,0,0
omniflix14kt55le6h74flpf68nf0dqq9len9f5ysxu9dxv,0,0,2,0,0,0
omniflix1ze3s3069czlywql9rttg5j767p4aj4sqsap2pf,0,0,1,2,0,0
omniflix1ej828l97c3jxd88vr8c26qy3lekpmsqytqu2jx,0,0,1,1,0,0
omniflix1nahs07j4pn3wutckhrmu2aq9khqqeskgeakan3,0,2,0,0,0,0
omniflix1rrrmtxt8gxaxt5ffrvnusm7hrq0ul2z2d2p092,3,2,1,0,0,0
omniflix1lvkpwz0qm0wj34xrp4fz5pmcrkfxhd6993tyx8,0,0,0,2,0,0
omniflix1ate4ftftffkdxn9aprwyh0mutjzud3d5a92md3,0,2,0,0,0,0
omniflix19ddshsykdh8la5t68p4gy9ep6gdkdcz9g8lag3,2,0,0,0,0,0
omniflix1t9k9n7t6zckuw22ptqptk7r5x42fn362ed8vjr,0,2,0,0,0,0
omniflix1znj42kcwekac3yevdejcytejkpytsqlwc3vwd0,3,0,0,0,0,0
omniflix1amrjq9824hedszexxreefzeztke2vqfpg3w868,3,0,0,0,0,0
omniflix16s9lqwxpx3v37pktkf0tly5gntj9fpnydkzd3p,0,0,2,2,2,0
omniflix1dkkxq7ukf7n9ugc3djjwwr7fduhfdzc4e8hgc5,0,0,2,0,0,0
omniflix1g7d6ys6x09u99hae4e3qlsrnl02sup2petexh4,0,2,0,0,0,0
omniflix1w362hzxf90lvqtegp7nt3sdrhd2cea4pcjcexe,0,2,0,0,0,0
omniflix1t6ysg4hnel7sncfqcrx537u0nfe9hp0z8fgdq0,0,2,0,0,0,0
omniflix1sln9qc7yx3lzj0fnthxc7d9a8h6skuy9k87l33,0,2,0,0,0,0
omniflix1pntrj7lpkgl90q947y94fz5d6saqt03c4llea7,1,1,0,0,0,0
omniflix1nrghjj9279mgh4pm9yfsp0z22tzs60n54vhd34,3,0,0,0,0,0
omniflix1tpywjvl3p6xf3hz238r35c0nnmaxgjsyhj32wr,3,0,0,0,0,0
omniflix1qhk5f8qcgzmcys5ehnj6httygmnfe303lgptzx,0,3,0,0,0,0
omniflix1ukwk5v8j7naz2sd09nd077dwrl23j3h4qe6gyx,3,5,2,0,0,0
omniflix1z6mvsd0cjx9et6etwevjgvmk8umvdw4gepju0z,3,0,0,0,0,0
omniflix1gq72dmlnr70sg7kpa7qe0fp5vjdfugwg9qqrxh,2,0,0,0,0,0
omniflix1r4j9ltcat8fulwwnzct9dl607dprfqfag2xjc8,0,2,0,0,0,0
omniflix1jfw8qcaj3jvzayruyzeqj7z3ceme7mh4pyakad,0,0,2,0,0,0
omniflix1dew4c9xe9xe8wsvmj2pyckxw4vwkml9c7z8h7p,3,0,0,0,0,0
omniflix1zej7u6g6jqlhyeeyq5cz48javnkq0awl4am67v,3,2,0,0,0,0
omniflix1q492z2qfwstspcfal2xfaxgt6p3h7y39nezjef,3,0,0,0,0,0
omniflix1klnv3kmrr9mq5feqzknc9zvkp30sawq982hx2e,0,2,0,0,0,0
omniflix1tch9vesw42ypew9dcl996yxnxar2q4ksfghkj3,0,2,0,0,0,0
omniflix1ll5tstgxgpk0j723awqaqz8jqmqpapmj6zuvxt,1,3,1,0,0,0
omniflix125ndc42fquylepd2lqvyeqdk5ft9keysukphlu,0,0,2,0,0,0
omniflix1swfjajpyh8x4tpgfwnte5ty99m9qs6k2scznyk,3,0,0,0,0,0
omniflix1eqqnxruycteqs342ufffjv0yg6pcfvc2mtd076,1,1,0,0,0,0
omniflix17huefnxtlgegyw8wvs0ze3fx4x079rxfna4qtn,3,0,0,0,0,0
omniflix1g5v429f86ynv94nhenn5uj0s26s6my5wkuh0p6,1,6,2,0,0,0
omniflix1lnxyyyahjkvrw40achrnparmux4uktvv3wplrs,0,0,2,0,0,0
omniflix1ku6x6u3hrrfzal08fa22n5qlsp60fu8htzvmhl,0,1,1,0,0,0
